Interior(Sq Ft),# of Bed,# of Bath,# of Rooms,Condo Fee,Tax, Sale Price 
0,2,1,4,70,490,"1,06,000"
850,2,1,5,100,923,"95,000"
730,2,1,4,185,575,"1,31,000"
1058,3,1,5,163,1682,"1,25,000"
1585,2,1,6,100,1402,"79,000"
1460,3,2,6,100,1582,"1,35,000"
1630,4,1,8,50,1659,"1,18,000"
1330,3,1,6,100,1590,"1,54,000"
1225,2,1,6,100,1698,"1,11,500"
1446,3,1,6,150,2120,"4,45,000"
950,2,1,5,100,1114,"1,28,500"
850,2,1,5,100,1114,"1,54,000"
927,2,1,5,80,1781,"1,42,000"
708,1,1,3,121,456,"1,43,000"
570,1,1,4,115,792,"2,12,500"
1739,3,2,7,154,2203,"1,49,000"
570,1,1,3,99,630,"1,25,000"
915,2,1,5,168,1700,"1,89,000"
915,2,1,5,168,1556,"2,02,000"
570,1,1,3,98,470,"2,06,000"
520,1,1,3,114,519,"1,75,000"
910,2,1,5,199,1374,"2,08,000"
890,2,1,5,194,1193,"1,36,500"
730,1,1,4,170,1011,"1,66,000"
730,1,1,4,170,966,"97,000"
840,1,1,4,188,1353,"75,000"
858,2,1,4,110,1847,"2,05,000"
1050,2,2,4,160,2676,"1,72,500"
1277,2,2,5,0,1857,"1,79,000"
707,2,1,4,120,1530,"1,05,000"
900,2,1,5,182,2243,"1,66,000"
900,2,1,5,154,1194,"1,50,700"
707,2,1,4,120,1744,"1,66,000"
436,1,1,3,90,1032,"1,45,000"
516,1,1,3,88,577,"1,22,000"
1170,2,1,6,277,1929,"1,35,000"
1040,2,1,5,100,1015,"1,65,000"
695,1,1,4,185,584,"2,14,500"
706,1,1,4,189,630,"1,52,000"
600,1,1,4,155,967,"1,65,000"
940,2,1,4,123,412,"1,42,000"
794,1,1,4,159,704,"89,000"
959,2,1,5,130,466,"1,33,000"
1027,2,1,4,176,907,"1,44,000"
667,1,1,3,127,653,"1,10,000"
1000,2,2,5,100,830,"1,20,000"
1184,3,2,5,243,2659,"1,01,000"
600,1,1,3,123,729,"1,25,000"
1370,2,2,5,409,3995,"1,21,000"
1330,2,2,4,400,3667,"1,19,500"
810,1,1,4,238,2143,"1,38,500"
1575,2,2,5,524,3849,"1,10,000"
1225,2,2,5,390,2629,"1,60,000"
1200,2,2,5,380,3140,"1,79,000"
1950,3,3,6,729,5100,"1,00,000"
810,1,1,3,229,2218,"5,05,000"
1210,2,2,5,366,3126,"2,15,000"
1644,2,2,5,537,4002,"5,30,000"
1935,3,2,6,780,6669,"4,00,000"
1595,2,3,5,484,3734,"3,80,000"
1705,3,2,6,483,3518,"5,35,000"
980,2,2,5,202,826,"2,25,000"
1190,2,1,5,107,1901,"3,70,000"
1190,2,1,6,110,1326,"5,75,000"
905,2,2,4,214,1853,"8,75,000"
1016,2,1,5,153,1965,"4,40,000"
597,1,1,3,96,635,"4,60,000"
605,1,1,3,177,432,"1,16,500"
620,1,1,3,181,378,"1,53,000"
620,1,1,3,181,412,"1,62,000"
1054,2,1,5,75,701,"1,32,500"
1206,2,2,5,275,2130,"1,39,000"
1337,3,2,7,296,2301,"1,29,000"
1204,2,2,5,308,2000,"82,882"
1205,2,2,5,320,2505,"1,06,000"
1202,2,2,5,310,2267,"1,06,000"
1221,2,1,4,347,2306,"2,61,000"
1187,2,2,4,341,2263,"2,60,000"
1138,2,2,4,363,2530,"2,55,000"
791,1,1,3,248,2344,"2,56,000"
818,1,1,3,230,1932,"2,61,000"
1287,2,2,4,306,2012,"2,40,000"
1270,2,2,5,378,1300,"2,31,500"
920,2,1,5,100,585,"2,65,000"
955,2,1,5,100,1183,"2,00,000"
872,2,1,4,195,959,"1,78,000"
1124,2,1,5,80,1155,"2,40,000"
1124,2,1,5,100,1596,"2,74,500"
1418,3,2,6,140,2118,"1,12,000"
950,2,2,5,100,1483,"1,77,000"
1060,2,1,5,96,1239,"1,34,000"
1060,2,1,5,100,1298,"1,60,000"
832,2,1,4,154,1140,"1,95,000"
832,2,1,4,169,1313,"2,22,500"
1427,2,2,5,123,2988,"1,80,000"
2007,3,3,6,126,3657,"1,48,000"
1230,2,3,5,296,2050,"1,60,000"
1180,2,2,4,309,2414,"1,36,000"
1191,2,2,4,296,2428,"1,49,000"
1050,2,2,4,130,826,"3,95,000"
1388,2,2,5,176,1602,"3,76,500"
875,2,1,4,168,1540,"2,18,000"
931,2,2,5,204,1825,"1,86,000"
1070,2,2,5,224,1229,"2,05,000"
931,2,2,4,214,1917,"1,05,000"
1737,3,2,7,137,1644,"1,63,000"
710,1,1,4,100,348,"1,09,000"
1200,2,1,6,70,2199,"1,32,000"
1170,3,1,6,125,1837,"1,47,000"
1422,3,1,7,125,1837,"1,41,000"
690,1,1,4,155,622,"2,15,000"
1525,2,2,5,223,1275,"1,05,000"
1775,3,2,7,280,2432,"1,60,000"
1266,3,2,6,193,1268,"1,87,500"
1290,2,2,5,133,1567,"2,61,000"
529,1,1,3,49,202,"73,000"
568,1,1,3,247,783,"2,17,000"
946,2,2,4,248,1134,"2,50,000"
620,1,1,3,246,1344,"2,35,000"
498,1,1,3,140,989,"2,47,000"
504,1,1,3,134,755,"87,000"
493,1,1,3,142,888,"1,00,500"
500,1,1,3,136,297,"1,71,000"
531,1,1,3,182,519,"1,30,000"
748,2,1,4,134,590,"79,000"
891,1,1,4,160,511,"1,03,500"
744,1,1,3,133,587,"98,000"
704,1,1,3,126,618,"1,01,000"
996,2,2,4,204,1747,"77,000"
632,1,1,3,130,734,"1,41,800"
1448,3,2,5,150,1522,"1,33,000"
1447,3,2,5,151,1550,"1,32,000"
1491,3,1,6,75,1000,"97,500"
805,2,1,5,150,874,"1,47,000"
580,1,1,3,149,524,"82,000"
570,1,1,3,152,587,"1,80,000"
570,1,1,3,152,587,"1,92,500"
1785,3,2,8,142,2010,"1,27,000"
1405,3,2,6,84,1352,"1,03,000"
950,2,1,5,75,750,"79,000"
950,2,1,5,75,750,"80,000"
924,2,2,4,215,1532,"3,05,000"
1138,2,1,5,110,1159,"1,75,000"
825,1,2,4,90,1765,"97,400"
1042,2,2,5,120,1929,"1,15,000"
1335,3,2,6,180,2087,"1,51,000"
1490,4,2,7,200,2386,"2,05,000"
1663,3,2,7,150,1439,"1,26,000"
1058,3,1,6,135,966,"1,65,000"
585,1,1,3,75,532,"2,52,000"
1000,3,1,5,80,800,"2,60,000"
1115,3,1,6,152,1599,"1,91,000"
1882,2,2,7,210,1705,"1,62,000"
1022,2,1,6,100,895,"68,000"
1558,3,1,6,239,2394,"1,20,000"
1350,3,1,7,75,1193,"1,85,000"
1200,2,1,5,100,1698,"2,35,000"
786,2,1,4,199,820,"1,81,000"
1150,2,2,5,100,1449,"2,59,000"
549,1,1,3,84,910,"1,94,000"
820,1,1,4,200,1020,"2,00,000"
1005,3,2,6,250,986,"2,10,000"
968,2,1,5,45,600,"1,12,000"
963,2,2,5,242,957,"1,55,000"
640,1,1,3,198,679,"1,58,000"
655,1,1,3,198,445,"1,29,000"
954,2,1,5,75,1220,"1,04,000"
1420,3,1,6,75,1467,"91,250"
1459,3,1,6,85,1733,"93,000"
2568,2,1,5,53,547,"1,61,000"
1010,2,1,5,120,1316,"1,55,000"
804,2,1,5,129,1696,"1,72,500"
720,2,1,4,118,1500,"1,15,000"
915,2,1,5,207,1031,"1,66,500"
915,2,1,5,207,1725,"1,41,000"
1100,3,1,6,312,1495,"1,55,000"
1125,3,1,5,219,1745,"1,60,000"
862,2,1,4,168,836,"1,31,000"
906,2,1,4,200,997,"1,70,000"
1125,2,1,5,250,1626,"1,82,000"
